"player","position","team","matchup","prop_type","line","line_over","line_under","projection","p_over","p_under","p_push","over_odds","under_odds","book","dk_line","dk_line_over","dk_line_under","dk_over_odds","dk_under_odds","fd_line","fd_line_over","fd_line_under","fd_over_odds","fd_under_odds","line_source","odds_source","ev_over","ev_under","recommendation","correlation_with_game","game_id","Raw Kelly (%)","Capped Stake (%)","Final Stake (%)","Pass Reason","edge_quality","edge_note"
"S.Darnold","QB","SEA","SEA @ NE","passing_yards",230.5,230.5,230.5,199.1,0.3881,0.6119,0,-110,-110,"fanduel",231.5,231.5,231.5,-111,-113,230.5,230.5,230.5,-110,-110,"market","market",-0.2591,0.1682,"REVIEW",0.4,"2025_22_SEA_NE",-0.28499,0,0,"Negative EV","Review","Review (>10%)"
"D.Maye","QB","NE","SEA @ NE","passing_yards",224.5,224.5,224.5,223.4,0.4948,0.5052,0,-110,-110,"fanduel",225.5,225.5,225.5,-111,-113,224.5,224.5,224.5,-110,-110,"market","market",-0.0555,-0.0354,"PASS",0.4,"2025_22_SEA_NE",-0.0609199999999999,0,0,"Negative EV","Pass","Negative EV"
"R.Stevenson","RB","NE","SEA @ NE","rushing_yards",48.5,48.5,48.5,53.7,0.5671,0.4329,0,-110,-110,"fanduel",48.5,48.5,48.5,-112,-112,48.5,48.5,48.5,-110,-110,"market","market",0.0826,-0.1735,"OVER",0.081,"2025_22_SEA_NE",0.0909100000000001,0.01136375,0.01136375,"","Review",""
"K.Walker","RB","SEA","SEA @ NE","rushing_yards",70.5,70.5,70.5,59.7,0.3516,0.6484,0,-110,-110,"fanduel",70.5,70.5,70.5,-113,-111,70.5,70.5,70.5,-110,-110,"market","market",-0.3288,0.2379,"REVIEW",0.081,"2025_22_SEA_NE",-0.36164,0,0,"Negative EV","Review","Review (>10%)"
"D.Maye","QB","NE","SEA @ NE","rushing_yards",36.5,36.5,36.5,33.8,0.449,0.551,0,-109,-115,"draftkings",36.5,36.5,36.5,-109,-115,35.5,35.5,35.5,-110,-110,"market","market",-0.139,0.0301,"UNDER",0.09,"2025_22_SEA_NE",0.03465,0.00433125,0,"Stake below minimum","Review",""
"S.Diggs","WR","NE","SEA @ NE","receiving_yards",41.5,41.5,41.5,64.5,0.7382,0.2618,0,-110,-110,"fanduel",44.5,44.5,44.5,-112,-112,41.5,41.5,41.5,-110,-110,"market","market",0.4092,-0.5001,"REVIEW",0.3,"2025_22_SEA_NE",0.45022,0.00562775,0,"Edge too large (>10%)","Review","Review (>10%)"
"H.Henry","TE","NE","SEA @ NE","receiving_yards",39.5,39.5,39.5,43.5,0.5566,0.4434,0,-113,-111,"draftkings",39.5,39.5,39.5,-113,-111,39.5,39.5,39.5,-120,100,"market","market",0.0491,-0.1571,"OVER",0.3,"2025_22_SEA_NE",0.055558,0.00694475,0,"Stake below minimum","Review",""
"M.Hollins","WR","NE","SEA @ NE","receiving_yards",25.5,25.5,25.5,32.5,0.6049,0.3951,0,-114,-110,"draftkings",25.5,25.5,25.5,-114,-110,25.5,25.5,25.5,-115,-105,"market","market",0.1355,-0.2457,"REVIEW",0.3,"2025_22_SEA_NE",0.154486,0.009655375,0,"Edge too large (>10%)","Review","Review (>10%)"
"C.Kupp","WR","SEA","SEA @ NE","receiving_yards",35.5,35.5,35.5,50.1,0.6609,0.3391,0,-113,-111,"draftkings",35.5,35.5,35.5,-113,-111,32.5,32.5,32.5,-110,-105,"market","market",0.2458,-0.3554,"REVIEW",0.3,"2025_22_SEA_NE",0.277717,0.00867865625,0,"Edge too large (>10%)","Review","Review (>10%)"
"R.Stevenson","RB","NE","SEA @ NE","receiving_yards",24.5,24.5,24.5,23,0.4716,0.5284,0,-109,-115,"draftkings",24.5,24.5,24.5,-109,-115,24.5,24.5,24.5,-110,-110,"market","market",-0.0958,-0.0121,"PASS",0.3,"2025_22_SEA_NE",-0.104356,0,0,"Negative EV","Pass","Negative EV"
"R.Shaheed","WR","SEA","SEA @ NE","receiving_yards",22.5,22.5,22.5,44.1,0.7231,0.2769,0,-115,-109,"draftkings",22.5,22.5,22.5,-115,-109,21.5,21.5,21.5,-115,-105,"market","market",0.3519,-0.4691,"REVIEW",0.3,"2025_22_SEA_NE",0.404665,0.0050583125,0,"Edge too large (>10%)","Review","Review (>10%)"
"K.Walker","RB","SEA","SEA @ NE","receiving_yards",20.5,20.5,20.5,20.3,0.4959,0.5041,0,-110,-110,"fanduel",22.5,22.5,22.5,-112,-112,20.5,20.5,20.5,-110,-110,"market","market",-0.0533,-0.0376,"PASS",0.3,"2025_22_SEA_NE",-0.05861,0,0,"Negative EV","Pass","Negative EV"
"J.Smith-Njigba","WR","SEA","SEA @ NE","receiving_yards",91.5,91.5,91.5,70.4,0.3199,0.6801,0,-110,-110,"fanduel",93.5,93.5,93.5,-110,-114,91.5,91.5,91.5,-110,-110,"market","market",-0.3893,0.2984,"REVIEW",0.3,"2025_22_SEA_NE",-0.42821,0,0,"Negative EV","Review","Review (>10%)"
"D.Douglas","WR","NE","SEA @ NE","receiving_yards",10.5,10.5,10.5,37.9,0.8661,0.1339,0,-109,-115,"draftkings",10.5,10.5,10.5,-109,-115,10.5,10.5,10.5,-110,-110,"market","market",0.6607,-0.7497,"REVIEW",0.3,"2025_22_SEA_NE",0.720149,0.0090018625,0,"Edge too large (>10%)","Review","Review (>10%)"
"A.Barner","TE","SEA","SEA @ NE","receiving_yards",25.5,25.5,25.5,22.9,0.4421,0.5579,0,-110,-114,"draftkings",25.5,25.5,25.5,-110,-114,25.5,25.5,25.5,-110,-110,"market","market",-0.1561,0.0474,"UNDER",0.3,"2025_22_SEA_NE",0.0539059999999999,0.00673824999999999,0,"Stake below minimum","Review",""
"S.Diggs","WR","NE","SEA @ NE","receptions",4.5,4.5,4.5,5,0.6487,0.3513,0,-112,-112,"fanduel",4.5,4.5,4.5,-125,-102,4.5,4.5,4.5,-112,-112,"market","market",0.2279,-0.335,"REVIEW",0.3,"2025_22_SEA_NE",0.255244,0.007976375,0,"Edge too large (>10%)","Review","Review (>10%)"
"H.Henry","TE","NE","SEA @ NE","receptions",3.5,3.5,3.5,3,0.4746,0.5254,0,-122,-104,"fanduel",3.5,3.5,3.5,-139,109,3.5,3.5,3.5,-122,-104,"market","market",-0.1363,0.0305,"UNDER",0.3,"2025_22_SEA_NE",0.031816,0.003977,0,"Stake below minimum","Review",""
"M.Hollins","WR","NE","SEA @ NE","receptions",2.5,2.5,2.5,2,0.3673,0.6327,0,134,-172,"fanduel",2.5,2.5,2.5,131,-168,2.5,2.5,2.5,134,-172,"market","market",-0.1406,6e-04,"PASS",0.3,"2025_22_SEA_NE",-0.104864179104478,0,0,"Negative EV","Pass","Edge < 2%"
"C.Kupp","WR","SEA","SEA @ NE","receptions",3.5,3.5,3.5,4,0.6205,0.3795,0,126,-160,"fanduel",3.5,3.5,3.5,110,-140,3.5,3.5,3.5,126,-160,"market","market",0.4022,-0.3832,"REVIEW",0.3,"2025_22_SEA_NE",0.319309523809524,0.00399136904761905,0,"Edge too large (>10%)","Review","Review (>10%)"
"R.Stevenson","RB","NE","SEA @ NE","receptions",3.5,3.5,3.5,2,0.2436,0.7564,0,132,-168,"draftkings",3.5,3.5,3.5,132,-168,3.5,3.5,3.5,130,-166,"market","market",-0.4349,0.2067,"REVIEW",0.3,"2025_22_SEA_NE",-0.329430303030303,0,0,"Negative EV","Review","Review (>10%)"
"R.Shaheed","WR","SEA","SEA @ NE","receptions",1.5,1.5,1.5,3,0.8134,0.1866,0,-134,106,"fanduel",1.5,1.5,1.5,-131,103,1.5,1.5,1.5,-134,106,"market","market",0.4205,-0.6157,"REVIEW",0.3,"2025_22_SEA_NE",0.563356,0.00704195,0,"Edge too large (>10%)","Review","Review (>10%)"
"K.Walker","RB","SEA","SEA @ NE","receptions",2.5,2.5,2.5,2,0.4568,0.5432,0,-128,102,"fanduel",2.5,2.5,2.5,-135,106,2.5,2.5,2.5,-128,102,"market","market",-0.1864,0.0973,"UNDER",0.3,"2025_22_SEA_NE",0.0953568627450981,0.0119196078431373,0.0119196078431373,"","Review",""
